roc_auc,pr_auc,brier,log_loss,precision,recall,f1,tn,fp,fn,tp,n,prevalence,predicts_both,year,threshold,model,split
0.9833822091886608,0.9845757209861723,0.1407581272137544,0.46358256691771016,0.9375,0.967741935483871,0.9523809523809523,31,2,1,30,64,0.484375,1,2025,,4_RandomForest,train
0.5714285714285714,0.25,0.35263441899865877,0.9394316128239765,0.0,0.0,0.0,4,3,1,0,8,0.125,1,2019,0.6382943830184358,5_LightGBM,test
0.75,0.7,0.24464186891394116,0.6755520559226693,0.25,0.5,0.3333333333333333,3,3,1,1,8,0.25,1,2020,0.47699210700736416,5_LightGBM,test
0.8666666666666667,0.9266666666666666,0.1861599950871703,0.5552993563703972,0.8333333333333334,1.0,0.9090909090909091,2,1,0,5,8,0.625,1,2021,0.4285327491752941,5_LightGBM,test
0.5833333333333334,0.3666666666666667,0.2571688414170158,0.7181188559372323,0.0,0.0,0.0,4,2,2,0,8,0.25,1,2022,0.5265440483738063,5_LightGBM,test
0.8,0.8766666666666667,0.23080842582518618,0.6462192829957906,0.75,0.6,0.6666666666666666,2,1,2,3,8,0.625,1,2023,0.38351654536391433,5_LightGBM,test
0.25,0.6746031746031745,0.3476845208200615,0.9457481502016887,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,2,2,4,8,0.75,1,2024,0.5206526080470723,5_LightGBM,test
1.0,1.0,0.09135599575729667,0.34497588002914514,1.0,1.0,1.0,2,0,0,6,8,0.75,1,2025,0.42794335207246154,5_LightGBM,test
1.0,0.9999999999999999,0.11997238809819705,0.412153346503307,1.0,1.0,1.0,6,0,0,10,16,0.625,1,2019,,5_LightGBM,train
0.986013986013986,0.984159779614325,0.12351357972673993,0.4247379205982566,0.9166666666666666,1.0,0.9565217391304348,12,1,0,11,24,0.4583333333333333,1,2020,,5_LightGBM,train
0.9838056680161943,0.9796597633136093,0.10822335542805536,0.3818426657474299,0.9230769230769231,0.9230769230769231,0.9230769230769231,18,1,1,12,32,0.40625,1,2021,,5_LightGBM,train
0.9848484848484849,0.9861111111111112,0.09653396431456637,0.3538553363352451,1.0,0.9444444444444444,0.9714285714285714,22,0,1,17,40,0.45,1,2022,,5_LightGBM,train
0.9785714285714285,0.9742424242424242,0.10132083523465539,0.35612199914412507,0.8333333333333334,1.0,0.9090909090909091,24,4,0,20,48,0.4166666666666667,1,2023,,5_LightGBM,train
0.9935483870967742,0.9925142857142859,0.0968719375159564,0.35037892530987363,0.96,0.96,0.96,30,1,1,24,56,0.44642857142857145,1,2024,,5_LightGBM,train
0.9677419354838709,0.9676964111202209,0.12004790860566565,0.40815904801815894,0.8529411764705882,0.9354838709677419,0.8923076923076924,28,5,2,29,64,0.484375,1,2025,,5_LightGBM,train
